,PSDB
Zé Vitor,PL
Ary Vanazzi,
Alceu Moreira,MDB
Flávia Morais,PDT
Otoniel Lima,PRB
Sen. Jorginho Mello e Carmen Zanotto,
Eros Biondini,PROS
Schiavinato  (*),PP
Margarida Salomão  (*),PT
Maria do Rosário e Sen. Fatima Bezerra,PT
Sandro Mabel,
Claudio Cajado,PP
Pedro Wilson,
Eduardo Bismarck,PDT
Edson Santos,PT
Adail Carneiro,
Carlos Mota,
Manoel Júnior,PMDB
Eudes Xavier,
Maria Helena,MDB
Carmen Zanotto,CIDADANIA
Darcísio Perondi,
Márcio Marinho,REPUBLICANOS
Sergio Vidigal,PDT
Jose Stédile e Sen. Fátima Bezerra,PSB
Lídice da Mata,PSB
Eduardo Barbosa,PSDB
Fernando Chucre,
Daniel Almeida,PCdoB
Penna (*) e Mandetta,PV
Perpétua Almeida,PCdoB
Ricardo Quirino,PRB
Antonio Brito,PSD
Maria do Rosário,PT
Serafim Venzon,
Amauri Gasques,
Tereza Nelma,PSDB
Hugo Leal  e Sen. Wellington Fagundes,PSD
Fernando Francischini,SDD
Pedro Westphalen,PP
Marcos Reategui,PSDB
Alex Manente,CIDADANIA
Wilson Filho,PTB
Lucia Braga,
Osvaldo Reis,
Dr. Rodolfo Pereira,
Hamilton Casara,
Leonardo Monteiro,PT
Rogério Correia,PT
Janete Capiberibe,PSB
Angelim,PT
Leonardo Quintão,MDB
Vitor Lippi  e Sen. Izalci Lucas,PSDB
Alexandre Frota,PSDB
João Campos,
Valdir Colatto,PMDB
Abelardo Lupion,DEM
Fernando Coruja,
Assis Melo,PCdoB
Carlos Jordy,PSL
Waldir Maranhão,
Sen. Marcelo Crivella,
Raimundo Gomes de Matos,
Alex Santana,PP
Fátima Pelaes,PMDB
César Halum,PRB
Eli Corrêa Filho,DEM
Nelson Pellegrino  (*),PT
Celso Russomanno,
Renato Casagrande,
Afonso Florence,PT
Roberto Sales,DEM
Vicentinho Júnior,PL
Wilson Picler,
Amauri Teixeira,PT
Senador Delcídio Amaral,
Francisco Chagas,PMDB
Professor Joziel,PSL
Dr. Rosinha,
Giuseppe Vecci,MDB
Jerônimo Goergen e Renato Molling,PP
Chris Tonietto,PSL
Salvador Zimbaldi,PROS
Carlos Veras,PT
Wellington Fagundes,PR
Luis Miranda,DEM
Eduardo Gomes,
Valdevan Noventa,PL
Milton Monti,PR
Paulo Guedes,PT
Hugo Napoleão,PSD
Sandes Júnior,PP**
Adrian,PMDB
Ciro Pedrosa,
Benedita da Silva,PT
Dr. Sinval Malheiros,PSDB
Paulo Ramos,PDT
Colbert Martins,
Jorge Solla,PT
Delegado Antônio Furtado,PSL
Lucas Gonzalez,NOVO
Milton Coelho,PSB
Paulo Rubem Santiago,
Guilherme Derrite,PP
Otavio Leite,PSDB
Izalci,PSDB
Subtenente Gonzaga,PDT
Selma Schons,
Anselmo de Jesus,
Sandro Alex,PPS
Zé Silva,PODE
Takayama,PSC
Orlando Silva,PSDB
Silvia Cristina,PDT
Uldurico Pinto,
Nilto Tatto,PT
Antônio Carlos Mendes Thame,
Marcio Marinho,
Gonzaga Mota,
Diego Garcia,PODE
Carlos Willian,
Nazareno Fonteles,
Reginaldo Lopes,
Jô Moraes,PCdoB
Fernando Rodolfo,PL
Capitão Wagner,PROS
Professor Irapuan Teixeira,
Charlles Evangelista,PSL
Fernando Gabeira,
Benito Gama,PTB
Altineu Côrtes,PSDB
Antonio Balhmann,PROS
Weliton Prado,PROS
Geraldo Resende,
"Geraldo Thadeu, Angela Guadagnin, Nelson Proença e outros",
Alan Rick,DEM
Magda Mofatto,PR
Paulo Magalhães,
Décio Lima,PT
Leandre,PV
"Dep. Maria do Rosário, Dep. Telma de Souza e Sen. Patrícia Saboya",
Evandro Roman,PSD
Zezeu Ribeiro,
Alice Portugal,
Pedro Lupion,DEM
Adelor Vieira,
Liliam Sá e Dr. Adilson Soares,PROS
Regis de Oliveira,
Giovani Cherini,PL
Antonio Carlos Mendes Thame,
Leonardo Monteiro e Sen. Paulo Rocha,PT
Bibo Nunes,PSL
Fred Costa,PATRIOTA
Alexandre Cardoso,
Lucio Mosquini,MDB
Ronaldo Benedet,PMDB
Afonso Hamm,PP
Paulão,PT
Diego Andrade,PSD
Rogério Rosso,PSD
Cássio Andrade,PSB
Flávio Bezerra,
Junji Abe,PSD
Bruna Furlan,PSDB
Felipe Carreras,PSB
José Rocha,PL
Alice Portugal  e Sen. Paulo Paim,PCdoB
Léo Moraes,PODE
Solange Almeida,
Delegado Éder Mauro,PSD
Glauber Braga,PSOL
Fábio Henrique,PDT
Pompeo de Mattos,PDT
Dr. Pinotti,
Carlos Santana,
Marco Tebaldi,PSDB
